AnoMes,quantidadePix,valorPix,quantidadeTED,valorTED,quantidadeTEC,valorTEC,quantidadeCheque,valorCheque,quantidadeBoleto,valorBoleto,quantidadeDOC,valorDOC
202509,"6853600,57","3180234,47","67787,76","3935730,15",0,0,"8401,46","36257,82","349079,13","569213,66",0,0
202508,"6975792,66","3035727,36","64506,6","3700999,64",0,0,"7764,15","34009,59","328959,8","522435,28",0,0
202507,"6681904,26","3058009,49","67192,89","3915166,65",0,0,"8507,87","35797,81","353819,55","564569,38",0,0
202506,"6463470,81","2868306,07","62477,43","3742911,28",0,0,"8217,12","34182,86","338127,37","523439,24",0,0
202505,"6642996,73","2821204,05","64178,98","3799492,18",0,0,"8406,19","35833,8","340006,42","532979,61",0,0
202504,"6277865,46","2675677,84",64449,"3850452,25",0,0,"8454,24","36327,15","341624,79","539022,34",0,0
202503,"6249021,87","2569137,06","61294,83","3683199,49",0,0,"8808,83","35645,95",340788,"516117,79",0,0
202502,"5607721,49","2431378,99","61949,08","3378764,96",0,0,"8350,17","33019,98","324481,7","488180,37",0,0
202501,"5682028,22","2469961,92","62232,13","3705721,69",0,0,"9199,15","36429,91","338952,59","519244,8",0,0
202412,"6439025,53","2779504,21","76611,11","4257762,35",0,0,"9616,44","37774,51","361042,81","566693,06",0,0
202411,"5801993,62","2457450,39","65815,9","3503713,5",0,0,"9018,91","34430,29","332501,15","512370,3",0,0
202410,"5719634,44","2477082,95","68590,51","3885789,81",0,0,"10202,17","39646,01","362192,91","563986,63",0,0
202409,"5514820,67","2312884,11","66155,98","3730246,21",0,0,"9978,94","39601,85","344698,46","520250,19",0,0
202408,"5639073,65","2325824,32","67581,13","3621022,65",0,0,"10009,39","39142,87","343924,99","519248,33",0,0
202407,"5392531,01","2337719,13","69657,15","3828948,82",0,0,"10942,8","41504,78","366484,15","546660,21",0,0
202406,"5252219,2","2118346,64","63599,32","3527912,28",0,0,"9642,76","36114,74","327754,93","475278,61",0,0
202405,"5204202,51","2103333,37","69023,11","3482036,97",0,0,"10467,85","40133,55","349180,92","506302,82",0,0
202404,"4900465,64","2062614,3","70647,15","3652606,48",0,0,"11179,22","43295,4","361633,28","524619,69",0,0
202403,"4880460,58","1920986,7","67565,05","3333054,27",0,0,"10122,46","36644,55","336435,46","469047,59",0,0
202402,"4344917,69","1703935,55","65805,87","2981226,45","60,01","109,32","10373,38","37076,26","332269,47","463066,01","61,89","34,21"
