"data";"valor"
"01/11/2020";"0,41"
"01/12/2020";"2,04"
"01/01/2021";"-0,29"
"01/02/2021";"1,69"
"01/03/2021";"2,81"
"01/04/2021";"0,38"
"01/05/2021";"2,11"
"01/06/2021";"0,81"
"01/07/2021";"1,68"
"01/08/2021";"0,95"
"01/09/2021";"1,93"
"01/10/2021";"1,35"
"01/11/2021";"2,30"
"01/12/2021";"0,05"
"01/01/2022";"-0,35"
"01/02/2022";"0,12"
"01/03/2022";"2,65"
"01/04/2022";"0,55"
"01/05/2022";"-0,51"
"01/06/2022";"0,48"
"01/07/2022";"-4,35"
"01/08/2022";"-2,55"
"01/09/2022";"-1,21"
"01/10/2022";"0,18"
"01/11/2022";"1,00"
"01/12/2022";"0,27"
"01/01/2023";"0,72"
"01/02/2023";"0,84"
"01/03/2023";"2,33"
"01/04/2023";"0,86"
"01/05/2023";"0,71"
"01/06/2023";"0,06"
"01/07/2023";"0,46"
"01/08/2023";"1,26"
"01/09/2023";"1,11"
"01/10/2023";"-0,03"
"01/11/2023";"0,16"
"01/12/2023";"0,31"
"01/01/2024";"0,19"
"01/02/2024";"0,88"
"01/03/2024";"0,25"
"01/04/2024";"0,74"
"01/05/2024";"0,55"
"01/06/2024";"0,33"
"01/07/2024";"1,08"
"01/08/2024";"-0,12"
"01/09/2024";"1,01"
"01/10/2024";"0,71"
"01/11/2024";"-0,87"
"01/12/2024";"-0,17"
"01/01/2025";"-1,52"
"01/02/2025";"3,16"
"01/03/2025";"0,18"
"01/04/2025";"0,35"
"01/05/2025";"0,70"
"01/06/2025";"0,60"
"01/07/2025";"0,67"
"01/08/2025";"-0,61"
